Family,Instance Name,core_count,memory_mb,On Demand Hourly Cost,DBU / Hour
c4,c4.2xlarge,8,15360,0.398,0.1
c4,c4.4xlarge,16,30720,0.796,0.2
c4,c4.8xlarge,36,61440,1.591,0.4
c5,c5.xlarge,4,8192,0.17,0.061
c5,c5.2xlarge,8,16384,0.34,0.121
c5,c5.4xlarge,16,32768,0.68,0.243
c5,c5.9xlarge,36,73728,1.53,0.546
c5,c5.12xlarge,48,98304,2.04,0.728
c5,c5.18xlarge,72,147456,3.06,1.092
c5,c5.24xlarge,96,196608,4.08,1.456
c5a,c5a.xlarge,4,8192,0.154,0.061
c5a,c5a.2xlarge,8,16384,0.308,0.121
c5a,c5a.4xlarge,16,32768,0.616,0.243
c5a,c5a.8xlarge,32,65536,1.232,0.486
c5a,c5a.12xlarge,48,98304,1.848,0.728
c5a,c5a.16xlarge,64,131072,2.464,0.972
c5a,c5a.24xlarge,96,196608,3.696,1.456
c5ad,c5ad.xlarge,4,8192,0.172,0.069
c5ad,c5ad.2xlarge,8,16384,0.344,0.137
c5ad,c5ad.4xlarge,16,32768,0.688,0.274
c5ad,c5ad.8xlarge,32,65536,1.376,0.548
c5ad,c5ad.12xlarge,48,98304,2.064,0.822
c5ad,c5ad.16xlarge,64,131072,2.752,1.096
c5ad,c5ad.24xlarge,96,196608,4.128,1.644
c5d,c5d.xlarge,4,8192,0.192,0.061
c5d,c5d.2xlarge,8,16384,0.384,0.121
c5d,c5d.4xlarge,16,32768,0.768,0.243
c5d,c5d.9xlarge,36,73728,1.728,0.546
c5d,c5d.12xlarge,48,98304,2.304,0.728
c5d,c5d.18xlarge,72,147456,3.456,1.092
c5d,c5d.24xlarge,96,196608,4.608,1.456
c5n,c5n.xlarge,4,10752,0.216,0.078
c5n,c5n.2xlarge,8,21504,0.432,0.155
c5n,c5n.4xlarge,16,43008,0.864,0.311
c5n,c5n.9xlarge,36,98304,1.944,0.699
c5n,c5n.18xlarge,72,196608,3.888,1.397
c6g,c6g.xlarge,4,8192,0.136,0.077
c6g,c6g.2xlarge,8,16384,0.272,0.154
c6g,c6g.4xlarge,16,32768,0.544,0.308
c6g,c6g.8xlarge,32,65536,1.088,0.616
c6g,c6g.12xlarge,48,98304,1.632,0.924
c6g,c6g.16xlarge,64,131072,2.176,1.232
c6gd,c6gd.xlarge,4,8192,0.1536,0.077
c6gd,c6gd.2xlarge,8,16384,0.3072,0.154
c6gd,c6gd.4xlarge,16,32768,0.6144,0.308
c6gd,c6gd.8xlarge,32,65536,1.2288,0.616
c6gd,c6gd.12xlarge,48,98304,1.8432,0.924
c6gd,c6gd.16xlarge,64,131072,2.4576,1.232
c6i,c6i.xlarge,4,8192,0.17,0.07
c6i,c6i.2xlarge,8,16384,0.34,0.139
c6i,c6i.4xlarge,16,32768,0.68,0.278
c6i,c6i.8xlarge,32,65536,1.36,0.556
c6i,c6i.12xlarge,48,98304,2.04,0.834
c6i,c6i.16xlarge,64,131072,2.72,1.113
c6i,c6i.24xlarge,96,196608,4.08,1.669
c6i,c6i.32xlarge,128,262144,5.44,2.225
c6id,c6id.xlarge,4,8192,0.2016,0.07
c6id,c6id.2xlarge,8,16384,0.4032,0.139
c6id,c6id.4xlarge,16,32768,0.8064,0.278
c6id,c6id.8xlarge,32,65536,1.6128,0.556
c6id,c6id.12xlarge,48,98304,2.4192,0.834
c6id,c6id.16xlarge,64,131072,3.2256,1.113
c6id,c6id.24xlarge,96,196608,4.8384,1.669
c6id,c6id.32xlarge,128,262144,6.4512,2.225
c6in,c6in.xlarge,4,8192,0.2268,0.07
c6in,c6in.2xlarge,8,16384,0.4536,0.139
c6in,c6in.4xlarge,16,32768,0.9072,0.278
c6in,c6in.8xlarge,32,65536,1.8144,0.556
c6in,c6in.12xlarge,48,98304,2.7216,0.834
c6in,c6in.16xlarge,64,131072,3.6288,1.113
c6in,c6in.24xlarge,96,196608,5.4432,1.669
c6in,c6in.32xlarge,128,262144,7.2576,2.225
c7g,c7g.xlarge,4,8192,0.1445,0.09
c7g,c7g.2xlarge,8,16384,0.289,0.181
c7g,c7g.4xlarge,16,32768,0.5781,0.362
c7g,c7g.8xlarge,32,65536,1.1562,0.724
c7g,c7g.12xlarge,48,98304,1.7342,1.086
c7g,c7g.16xlarge,64,131072,2.3123,1.448
c7gd,c7gd.xlarge,4,8192,0.1814,0.09
c7gd,c7gd.2xlarge,8,16384,0.3629,0.181
c7gd,c7gd.4xlarge,16,32768,0.7258,0.362
c7gd,c7gd.8xlarge,32,65536,1.4515,0.724
c7gd,c7gd.12xlarge,48,98304,2.1773,1.086
c7gd,c7gd.16xlarge,64,131072,2.903,1.448
i3,i3.xlarge,4,31232,0.312,0.1
i3,i3.2xlarge,8,62464,0.624,0.2
i3,i3.4xlarge,16,124928,1.248,0.4
i3,i3.8xlarge,32,249856,2.496,0.8
i3,i3.16xlarge,64,499712,4.992,1.6
i4i,i4i.large,2,16384,0.172,0.069
i4i,i4i.xlarge,4,32768,0.343,0.138
i4i,i4i.2xlarge,8,65536,0.686,0.275
i4i,i4i.4xlarge,16,131072,1.373,0.55
i4i,i4i.8xlarge,32,262144,2.746,1.1
i4i,i4i.16xlarge,64,524288,5.491,2.2
i4i,i4i.32xlarge,128,1048576,10.9824,4.4
m4,m4.large,2,8192,0.1,0.04
m4,m4.xlarge,4,16384,0.2,0.075
m4,m4.2xlarge,8,32768,0.4,0.15
m4,m4.4xlarge,16,65536,0.8,0.3
m4,m4.10xlarge,40,163840,2.0,0.8
m4,m4.16xlarge,64,262144,3.2,1.2
m5,m5.large,2,8192,0.096,0.034
